player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
maithority,UYU,astra,1006,180.1,0.82,,122.5,0.62,0.28,0.04,0.06,22,11
RCSoldier,OBM,astra,329,180.1,0.78,57,113.5,0.63,0.20,0.12,0.15,22,7
GOLD,DSP,astra,629,180.1,0.98,73,120.4,0.66,0.32,0.06,0.03,30,13
kazz,AIM,astra,871,180.0,0.91,70,119.5,0.64,0.32,0.04,0.05,28,12
Bill,AR,astra,212,180.0,1.00,,111.6,0.65,0.19,0.08,0.13,21,27
Hydrangae,Hydrangae,astra,302,179.9,0.90,69,116.8,0.66,0.22,0.04,0.05,21,4
Tak1,KG,astra,1197,179.9,0.86,72,115.7,0.63,0.39,0.06,0.09,18,15
focus,Balk,astra,407,179.9,0.78,70,122.9,0.61,0.29,0.08,0.08,25,7
Nick,DNAD,astra,3552,179.7,0.96,72,118.5,0.66,0.37,0.05,0.06,26,13
Rias,MRS,astra,2985,179.7,0.93,68,125.0,0.61,0.37,0.05,0.07,26,14
Loki,Loki,astra,357,179.6,0.86,71,117.7,0.66,0.34,0.07,0.14,18,34
crN,YTX,astra,208,179.6,0.92,65,115.8,0.64,0.30,0.05,0.04,21,15
soju,MF,astra,342,179.6,0.92,71,116.2,0.63,0.29,0.07,0.08,24,11
Suave,CLR,astra,1483,179.2,0.79,70,120.1,0.60,0.30,0.07,0.09,26,13
Phlux,NFC,astra,207,179.2,0.85,,133.0,0.62,0.21,0.06,0.09,24,9
kalvinn,kalvinn,astra,271,179.1,0.76,,120.6,0.60,0.19,0.06,0.07,29,18
Starryy,Roul,astra,1277,179.1,0.79,65,121.6,0.61,0.28,0.07,0.12,18,11
smiley,smiley,astra,1178,178.9,0.81,66,117.7,0.65,0.29,0.08,0.11,25,14
PlayMaker,SW,astra,447,178.8,0.78,74,116.9,0.62,0.31,0.09,0.09,26,7
micr0,micr0,astra,990,178.8,0.92,71,118.4,0.63,0.33,0.06,0.07,21,18
Deh9,PURP,astra,362,178.7,0.88,64,121.6,0.65,0.19,0.06,0.09,23,11
regga,regga,astra,614,178.6,0.78,63,118.2,0.62,0.30,0.06,0.12,15,12
Lover,Lover,astra,293,178.5,0.93,67,112.8,0.67,0.18,0.08,0.06,32,25
Adenina,Adenina,astra,259,178.5,0.90,71,122.0,0.66,0.29,0.06,0.10,18,13
mamichan,mamichan,astra,461,178.3,0.81,71,125.5,0.63,0.28,0.08,0.10,21,15
starlight,starlight,astra,233,178.1,0.72,60,128.2,0.60,0.18,0.11,0.15,23,
Panamera,SNG,astra,478,178.0,0.76,66,123.1,0.62,0.23,0.08,0.11,16,8
Jaigrayray,Jaigrayray,astra,434,177.9,0.90,71,125.2,0.65,0.36,0.05,0.05,30,10
toozy,toozy,astra,338,177.9,0.82,65,116.6,0.64,0.25,0.02,0.07,25,13
DrMELLO,DrMELLO,astra,401,177.9,0.80,64,119.7,0.63,0.21,0.04,0.10,26,6
Lemignon,MLC,astra,300,177.9,0.74,,117.7,0.59,0.26,0.04,0.07,34,5
mafea,SFL,astra,237,177.8,0.77,60,128.4,0.62,0.26,0.08,0.06,24,
eddshot,eddshot,astra,535,177.7,0.85,69,123.1,0.63,0.22,0.07,0.08,19,10
Raziiel,Team,astra,367,177.5,0.78,,115.7,0.62,0.22,0.06,0.06,24,9
vtrg0d,ATHZ,astra,711,177.5,0.86,69,123.1,0.61,0.23,0.06,0.08,18,9
Lax,Oasi,astra,774,177.4,0.96,,114.7,0.64,0.29,0.06,0.08,21,17
Papi,NBG,astra,721,177.3,0.75,64,118.5,0.60,0.30,0.08,0.11,22,7
ht,Azules,astra,337,177.2,0.84,,108.7,0.63,0.24,0.05,0.06,14,9
Leviathan,TF,astra,280,177.1,0.84,75,119.4,0.65,0.17,0.06,0.09,19,13
dem0n,SALT,astra,345,177.0,0.92,70,117.9,0.61,0.37,0.09,0.08,29,5
Qomochikit,ALK,astra,358,177.0,0.77,62,121.9,0.62,0.25,0.07,0.16,23,8
Jaf,H2O,astra,941,176.9,0.82,66,115.4,0.64,0.27,0.07,0.10,30,20
Boston,Boston,astra,280,176.8,0.69,56,115.5,0.61,0.19,0.07,0.12,23,5
w0rldw1de,YFP,astra,4594,176.8,0.90,70,117.6,0.63,0.26,0.06,0.07,31,13
Gunny,GNG,astra,548,176.7,0.76,64,123.4,0.58,0.33,0.04,0.09,17,6
melo,KTRL,astra,226,176.7,0.83,67,119.1,0.61,0.21,0.04,0.04,25,8
rasu,rasu,astra,209,176.6,0.74,68,124.3,0.61,0.26,0.08,0.12,24,9
Muramasa,RYZ,astra,1066,176.6,0.87,74,120.1,0.64,0.24,0.08,0.08,22,12
Timburr,Timburr,astra,257,176.5,0.70,60,120.8,0.61,0.21,0.08,0.11,26,5
ori,CRZ,astra,893,176.4,0.83,58,118.6,0.60,0.28,0.05,0.06,25,4
Rabbet,RRQ,astra,1141,176.3,0.83,74,115.8,0.60,0.28,0.08,0.09,23,10
oreopheliaa,oreopheliaa,astra,831,176.3,1.01,73,111.7,0.64,0.37,0.07,0.06,18,17
Prizz,Prizz,astra,248,176.3,0.79,64,118.9,0.59,0.18,0.09,0.08,18,
natzumii,ALK,astra,231,176.3,0.72,59,122.0,0.58,0.22,0.10,0.12,16,7
Kip,FNR,astra,998,176.2,0.82,64,119.2,0.62,0.27,0.06,0.07,27,10
seoul,seoul,astra,358,176.2,0.78,63,118.1,0.61,0.27,0.09,0.12,33,11
YoungOne,SPAR,astra,1121,176.0,0.78,67,118.0,0.59,0.29,0.08,0.11,19,10
Wisdom,Wisdom,astra,265,175.9,0.83,50,112.1,0.61,0.23,0.06,0.13,20,
Seanny,Stoi,astra,367,175.8,0.78,,115.3,0.62,0.18,0.10,0.11,25,6
Katharsis,NALA,astra,492,175.3,0.87,68,118.9,0.61,0.33,0.05,0.06,14,23
Taser,CNE,astra,298,175.1,0.95,75,116.7,0.64,0.35,0.04,0.09,28,12
Jurkey64,RGN,astra,230,175.1,0.80,,116.5,0.62,0.29,0.03,0.10,18,21
aimex,AME,astra,391,174.8,0.77,,107.7,0.62,0.14,0.04,0.06,28,5
him1k00,NXP,astra,354,174.7,0.81,60,116.2,0.61,0.26,0.08,0.10,23,9
katar,katar,astra,440,174.6,0.78,56,114.2,0.59,0.31,0.04,0.08,20,18
knightmare,knightmare,astra,242,174.4,0.70,,115.2,0.57,0.27,0.03,0.06,21,2
Kardash,Sem,astra,260,174.3,0.84,64,109.0,0.62,0.24,0.08,0.08,29,12
Jordation,BONK,astra,324,174.1,0.76,,120.5,0.58,0.20,0.05,0.07,26,8
Naivejester,Only,astra,524,174.1,0.77,60,117.9,0.60,0.19,0.09,0.09,31,8
KAJA,GS,astra,212,174.0,0.79,57,109.4,0.63,0.10,0.15,0.20,18,5
Feiyan,Feiyan,astra,277,173.9,0.78,50,108.1,0.60,0.25,0.09,0.12,21,14
Just,BETA,astra,596,173.8,0.82,67,118.4,0.60,0.27,0.07,0.11,30,12
Jangler,TB,astra,5151,173.7,0.96,71,114.6,0.65,0.30,0.04,0.05,26,16
Cryy,B4,astra,1323,173.5,0.89,68,113.5,0.62,0.31,0.07,0.08,26,16
astr0,NGX,astra,1044,173.5,0.90,67,110.8,0.62,0.27,0.06,0.07,30,18
britt,britt,astra,526,173.3,0.87,65,125.9,0.61,0.31,0.06,0.07,24,11
Laxxy,DV,astra,214,173.1,0.65,55,120.7,0.54,0.19,0.05,0.07,20,7
wondermaN,PJC,astra,602,172.9,0.81,64,121.1,0.62,0.22,0.08,0.08,32,12
Rage,Rage,astra,542,172.8,0.96,69,115.5,0.62,0.30,0.06,0.07,22,18
V1vaMeSs1,V1vaMeSs1,astra,303,172.7,0.75,,112.2,0.61,0.18,0.07,0.10,19,14
zombs,SEN,astra,5722,172.4,0.90,70,111.6,0.60,0.29,0.06,0.08,20,14
Philip,Ex-D,astra,848,172.4,0.82,63,117.1,0.61,0.21,0.08,0.09,28,17
audrey,Nerd,astra,307,172.3,0.72,,117.3,0.59,0.21,0.10,0.12,28,7
Vorwenn,BSO,astra,406,172.3,0.73,61,121.1,0.59,0.22,0.12,0.17,20,5
DellTero,K16,astra,648,172.1,0.75,,113.3,0.59,0.24,0.07,0.09,34,15
Txozin,Rise,astra,1195,171.7,0.88,60,114.6,0.63,0.22,0.07,0.10,24,13
MonOkson,FNST.A,astra,935,171.5,0.85,72,109.1,0.60,0.30,0.08,0.07,18,12
KonG02,KonG02,astra,270,171.0,0.80,,109.0,0.62,0.21,0.07,0.09,26,23
DFOX,O.O.,astra,322,170.9,0.70,,115.6,0.57,0.23,0.07,0.16,15,23
Zynella,fR,astra,518,170.8,0.86,77,116.0,0.66,0.27,0.07,0.10,29,20
file,DTG,astra,916,170.8,0.76,,113.1,0.59,0.26,0.08,0.12,19,14
nPanda,nPanda,astra,240,170.6,0.76,65,117.6,0.60,0.25,0.05,0.07,28,15
cmtJ,hPw,astra,953,170.3,0.88,,114.4,0.61,0.26,0.05,0.07,22,12
FerrariPICK,MAC,astra,228,170.1,0.70,,114.2,0.59,0.19,0.09,0.16,21,14
alimonstr,GX3,astra,1826,170.1,0.88,71,117.1,0.60,0.30,0.07,0.09,28,15
vital,vital,astra,470,169.9,0.76,83,109.2,0.57,0.19,0.07,0.09,26,7
YAYA,GTS,astra,229,169.6,0.77,63,115.2,0.59,0.25,0.03,0.05,25,17
Qrow,ARCE,astra,211,169.5,0.78,63,113.6,0.59,0.22,0.08,0.09,26,21
JoshF,GBP,astra,230,169.5,0.80,67,111.2,0.61,0.30,0.05,0.09,25,19
Yum07,Gods,astra,911,169.4,0.77,63,114.9,0.60,0.25,0.07,0.10,22,11
AEZ,AEZ,astra,827,169.3,0.79,,112.0,0.61,0.19,0.06,0.09,26,11
Cata,FSN,astra,320,169.3,0.79,64,113.6,0.57,0.30,0.07,0.10,17,13
egggs831,Hype,astra,261,169.3,0.80,65,119.2,0.62,0.17,0.05,0.12,30,12
Akula,nedg,astra,280,169.3,0.74,64,108.5,0.57,0.28,0.10,0.15,21,21
BoNeS,TR,astra,1125,169.2,0.74,62,113.9,0.58,0.21,0.09,0.11,28,8
KXoma,SKEL,astra,415,169.2,0.88,48,113.5,0.63,0.26,0.06,0.10,26,10
Avenger,Saku,astra,529,169.1,0.71,52,115.0,0.57,0.22,0.07,0.12,21,6
Killer,DGW,astra,584,168.9,0.83,70,107.9,0.60,0.26,0.06,0.07,20,10
mystral,mystral,astra,267,168.9,0.85,72,112.5,0.61,0.31,0.06,0.07,27,11
Tiger,JNS,astra,240,168.9,0.72,,108.0,0.60,0.22,0.05,0.09,24,5
kipp,spon,astra,642,168.8,0.74,60,111.5,0.58,0.21,0.06,0.08,21,6
Loupiote3,Loupiote3,astra,362,168.8,0.71,67,112.9,0.58,0.21,0.08,0.15,21,13
naisu,GF,astra,215,168.6,0.76,,118.5,0.59,0.19,0.06,0.13,28,10
qpert,PENT,astra,1029,168.6,0.81,73,109.1,0.59,0.30,0.06,0.08,25,16
lopesBoy,lopesBoy,astra,285,168.5,0.82,71,111.2,0.61,0.29,0.08,0.07,26,11
Kuro,Frag,astra,894,168.5,0.84,67,116.4,0.59,0.30,0.05,0.07,25,8
mNdS,MIBR,astra,2317,168.5,0.87,71,112.9,0.60,0.28,0.07,0.09,25,14
DominiK,FS,astra,975,168.2,0.81,65,115.3,0.61,0.29,0.06,0.08,30,12
EliEsS,OS,astra,328,167.9,0.73,59,114.2,0.59,0.26,0.05,0.09,21,8
ChrisM,ChrisM,astra,1102,167.8,0.85,71,109.9,0.61,0.28,0.05,0.09,24,16
enaye,enaye,astra,341,167.7,0.78,59,109.7,0.61,0.25,0.04,0.08,26,20
paddoX,GX,astra,298,167.6,0.80,62,115.9,0.61,0.23,0.05,0.10,20,8
Aisling,Aisling,astra,514,167.4,0.82,72,110.9,0.57,0.33,0.08,0.08,15,8
covinhas,Pink,astra,484,167.2,0.65,67,112.5,0.53,0.30,0.07,0.09,15,12
RelliK,TR,astra,2249,167.1,0.81,67,112.3,0.60,0.19,0.05,0.08,27,11
Neprix,ROO,astra,822,167.1,0.77,,107.7,0.59,0.27,0.05,0.09,23,10
Jinnie,Hype,astra,291,167.1,0.76,64,115.5,0.60,0.19,0.07,0.08,24,9
Fantasy,Fantasy,astra,612,166.5,0.76,67,109.5,0.59,0.24,0.05,0.09,26,8
Nyw,H$,astra,202,166.2,0.73,64,113.8,0.59,0.24,0.08,0.06,23,
Sergio,Kitchens,astra,473,166.0,0.84,72,113.9,0.58,0.28,0.07,0.07,21,17
thriL,thriL,astra,381,165.8,0.81,,118.7,0.60,0.31,0.08,0.07,28,20
dnos,FWOG,astra,1305,165.3,0.77,65,109.0,0.56,0.30,0.06,0.08,15,14
V3nom,V3nom,astra,512,165.2,0.77,63,110.1,0.60,0.22,0.07,0.09,27,14
GWZH,GWZH,astra,408,165.0,0.78,,109.5,0.57,0.26,0.07,0.07,19,14
floppy,C9,astra,515,164.9,0.83,,104.7,0.59,0.26,0.06,0.08,24,15
Jonji,BBG.A,astra,545,164.7,0.67,,117.0,0.54,0.29,0.07,0.14,21,14
cheeze,Home,astra,463,164.7,0.81,57,112.3,0.58,0.29,0.05,0.06,23,9
TONRAQ,TONRAQ,astra,286,164.4,0.64,66,111.0,0.53,0.30,0.08,0.13,20,8
Trajan1sk,Trajan1sk,astra,288,164.3,0.80,68,114.4,0.58,0.32,0.06,0.10,23,10
furislayer,furislayer,astra,623,164.2,0.86,70,105.4,0.57,0.26,0.05,0.06,24,6
exodia,Team,astra,260,164.2,0.77,,113.4,0.56,0.28,0.04,0.09,16,10
mizi,CAOS,astra,1021,163.9,0.82,75,112.4,0.58,0.29,0.04,0.08,17,11
giacomiN,TBK,astra,553,163.8,0.72,67,109.5,0.56,0.24,0.09,0.12,25,9
Mady,MSF,astra,1427,163.7,0.74,65,111.6,0.58,0.27,0.08,0.11,22,14
Noisia,WC,astra,520,163.5,0.81,,101.5,0.59,0.22,0.07,0.11,24,11
chai,Roul,astra,446,163.5,0.77,54,111.0,0.58,0.23,0.06,0.10,21,17
omkar09,omkar09,astra,468,162.8,0.77,,101.2,0.63,0.19,0.06,0.09,32,12
Crown,Disc,astra,410,162.2,0.66,56,110.3,0.54,0.31,0.06,0.09,18,9
Atom,DIVI,astra,364,162.1,0.73,70,104.7,0.56,0.32,0.04,0.09,18,19
Veedae,Veedae,astra,261,161.7,0.82,69,102.1,0.56,0.34,0.06,0.07,23,16
Rexy,YGGP,astra,260,161.6,0.75,65,107.3,0.59,0.25,0.07,0.11,25,2
shrouts,RB,astra,411,161.5,0.68,,104.2,0.56,0.22,0.06,0.12,22,13
Arial,B4A,astra,305,161.3,0.95,73,110.9,0.62,0.25,0.04,0.03,33,7
Zenos,Zenos,astra,251,160.9,0.68,,108.1,0.54,0.16,0.04,0.06,26,12
Hanna,Hanna,astra,265,160.8,0.72,67,107.9,0.53,0.29,0.08,0.10,29,7
Bregon,RE,astra,448,160.8,0.84,,104.8,0.57,0.25,0.08,0.07,19,9
nameless,Bant,astra,291,160.7,0.68,,114.1,0.54,0.27,0.06,0.10,20,10
Rano,BAL,astra,2527,160.6,0.70,68,107.1,0.55,0.32,0.06,0.11,18,11
Sheutaaa,UBI,astra,277,160.3,0.69,,101.2,0.58,0.18,0.06,0.09,25,4
TNKJ,TNKJ,astra,365,160.3,0.68,60,105.6,0.55,0.22,0.09,0.11,24,17
ranko,KPI,astra,405,160.2,0.69,63,105.5,0.53,0.28,0.08,0.14,20,12
Hyperreal99,MaD,astra,321,160.2,0.71,,107.0,0.53,0.24,0.10,0.15,20,10
KillerMiller,Stas,astra,1092,160.0,0.71,63,107.5,0.55,0.25,0.06,0.08,19,9
SvK,SvK,astra,231,160.0,0.68,,102.9,0.55,0.20,0.05,0.07,19,12
kaps,Team,astra,521,160.0,0.71,78,106.7,0.55,0.28,0.07,0.09,28,9
shelbyN,shelbyN,astra,285,160.0,0.81,65,110.0,0.59,0.29,0.06,0.08,29,8
Drakious,TO,astra,1394,160.0,0.72,,108.2,0.56,0.22,0.07,0.12,28,11
MateNiles,MateNiles,astra,2562,159.8,0.73,65,109.1,0.56,0.28,0.08,0.13,26,11
ACTiV,PG,astra,524,159.8,0.70,64,109.8,0.53,0.23,0.05,0.07,23,12
SLACKER,HGG,astra,257,159.8,0.67,,106.9,0.53,0.23,0.05,0.09,17,8
Plucky,Plucky,astra,619,159.7,0.82,,105.8,0.59,0.23,0.05,0.06,17,18
SH4KA,TE,astra,1864,159.5,0.82,72,108.1,0.56,0.28,0.05,0.08,28,14
pitgkiNg,pitgkiNg,astra,406,159.4,0.70,,105.2,0.54,0.30,0.07,0.09,18,11
tdawgg,Metr,astra,1975,159.4,0.71,70,105.1,0.55,0.33,0.08,0.10,20,8
shortmonkei,BEE,astra,240,159.2,0.69,46,105.2,0.55,0.27,0.09,0.08,31,5
luk,TBK,astra,1096,159.0,0.83,74,105.8,0.56,0.30,0.04,0.08,19,13
duke,duke,astra,512,158.5,0.79,,107.4,0.60,0.34,0.04,0.07,29,8
amy,amy,astra,632,158.4,0.82,70,104.8,0.57,0.34,0.08,0.09,24,12
JrayN,FWS,astra,272,158.2,0.78,59,106.2,0.58,0.25,0.05,0.08,28,14
NeyugPTwoK6,NeyugPTwoK6,astra,281,158.2,0.66,60,103.3,0.55,0.26,0.06,0.12,26,13
dino,ASP,astra,655,158.0,0.71,62,108.0,0.56,0.30,0.07,0.10,27,13
Starlight,VX,astra,2379,157.9,0.82,68,105.8,0.57,0.27,0.05,0.08,22,19
skye,GX,astra,1188,157.4,0.74,68,102.5,0.55,0.31,0.06,0.08,21,16
GuNNeR,SALT,astra,691,157.2,0.81,67,105.4,0.57,0.28,0.06,0.09,28,13
nisk,Abst,astra,210,157.0,0.80,75,96.0,0.57,0.26,0.05,0.10,19,12
Teets,Teets,astra,266,156.6,0.63,59,104.0,0.54,0.18,0.05,0.11,25,6
ryuziN,ryuziN,astra,338,156.3,0.83,68,102.7,0.56,0.23,0.06,0.06,23,11
vvv,vvv,astra,283,155.9,0.75,,111.7,0.57,0.27,0.04,0.08,27,9
Synergy,Valo,astra,1245,155.8,0.68,64,104.0,0.55,0.24,0.09,0.11,21,11
DOGAO,MOX,astra,301,154.8,0.64,60,108.6,0.51,0.21,0.05,0.08,18,7
Kimmy,MRB,astra,398,154.8,0.65,,108.0,0.50,0.29,0.07,0.13,20,17
cuppycake,BAAM,astra,623,154.6,0.74,,105.9,0.56,0.22,0.08,0.12,25,7
azz,azz,astra,294,154.6,0.69,,101.8,0.55,0.27,0.05,0.07,22,15
Soyokaze,Soyokaze,astra,334,154.5,0.76,65,98.3,0.53,0.32,0.04,0.06,20,13
LigHTRoland,LigHTRoland,astra,229,154.5,0.66,,113.7,0.54,0.28,0.05,0.10,23,12
heart,SLR,astra,587,154.1,0.71,67,109.3,0.53,0.25,0.06,0.09,21,16
evaD,evaD,astra,2757,154.1,0.73,66,103.1,0.53,0.32,0.05,0.07,22,11
Selldrudd,Selldrudd,astra,289,153.6,0.75,,102.6,0.56,0.20,0.06,0.06,18,18
Ch3nY,NAH,astra,248,153.6,0.72,65,103.6,0.56,0.28,0.05,0.13,27,11
maria,maria,astra,203,151.8,0.68,63,109.6,0.52,0.20,0.07,0.09,22,11
billie,AKAT,astra,262,151.3,0.64,66,103.8,0.51,0.19,0.03,0.07,29,10
wOBBS,Ecle,astra,960,151.2,0.63,56,101.4,0.52,0.22,0.07,0.12,19,15
PinkShadow,FTW,astra,370,151.1,0.61,61,102.6,0.51,0.28,0.08,0.14,16,10
Naero,36NU,astra,605,150.7,0.74,,103.0,0.54,0.26,0.05,0.05,28,11
mcn,B4,astra,384,150.7,0.72,68,98.2,0.52,0.29,0.05,0.10,16,2
SexyChristian,Gift,astra,551,150.5,0.67,63,102.7,0.54,0.22,0.06,0.08,29,10
kayle,LFT,astra,207,150.4,0.67,61,98.7,0.54,0.20,0.03,0.05,19,13
Sukuna,Ga,astra,251,150.4,0.62,,101.6,0.51,0.37,0.08,0.07,26,8
moura,Toca,astra,531,150.2,0.70,73,99.6,0.49,0.32,0.05,0.07,24,12
Cherzinga,Cherzinga,astra,725,150.2,0.71,63,97.1,0.53,0.30,0.06,0.09,14,16
depppx,TBS,astra,227,150.2,0.65,63,94.6,0.51,0.24,0.05,0.06,17,13
XevoltneSs,SNH,astra,413,150.0,0.75,61,108.2,0.53,0.30,0.05,0.07,31,16
Yebesore,FTW.R,astra,213,149.9,0.68,,94.4,0.53,0.29,0.06,0.08,17,8
beezer,Illu,astra,223,149.7,0.59,52,103.0,0.48,0.21,0.04,0.09,27,11
littlesataN1,GG,astra,428,149.3,0.67,,97.1,0.51,0.35,0.07,0.07,20,5
xZyclon,NBG,astra,232,149.3,0.64,64,98.5,0.51,0.31,0.05,0.10,22,8
melkerolle,melkerolle,astra,231,149.3,0.62,,90.5,0.51,0.24,0.05,0.09,23,4
ImJustDevin,Vand,astra,533,148.8,0.70,57,103.4,0.54,0.22,0.05,0.10,30,11
Jasprr,Roul,astra,374,148.7,0.65,58,100.5,0.51,0.20,0.04,0.09,18,10
Hadi,IMT,astra,739,148.7,0.70,62,99.8,0.52,0.29,0.06,0.09,22,9
1uke,ENRA,astra,256,148.6,0.64,55,99.7,0.53,0.16,0.09,0.15,23,6
Hanuh,Aste,astra,427,148.4,0.76,71,100.1,0.53,0.26,0.04,0.06,23,10
alz,alz,astra,660,148.1,0.74,59,100.9,0.53,0.27,0.03,0.06,22,10
Mashmello,DAYN,astra,236,147.8,0.78,65,95.7,0.58,0.19,0.08,0.09,24,14
momoko,ASE,astra,248,147.4,0.74,,96.1,0.56,0.19,0.04,0.10,24,10
Mochiyx,RTS,astra,847,147.3,0.72,,95.6,0.51,0.27,0.06,0.08,23,14
Hisoka,Hisoka,astra,607,147.2,0.74,77,99.3,0.54,0.20,0.04,0.08,17,9
Slyme,Slyme,astra,310,146.3,0.57,,106.1,0.48,0.32,0.05,0.10,23,10
kakei,GG,astra,314,146.2,0.62,58,92.8,0.50,0.22,0.06,0.13,14,9
Pannys,Pannys,astra,318,145.9,0.70,,95.5,0.52,0.37,0.03,0.06,21,11
Kaith,Kaith,astra,300,145.8,0.60,64,110.8,0.49,0.26,0.05,0.05,22,9
hoot,Mach,astra,419,145.8,0.67,62,101.9,0.53,0.25,0.06,0.09,25,7
Zento,Zento,astra,498,145.6,0.65,63,97.3,0.50,0.26,0.04,0.08,23,16
AvRaK,M2H,astra,328,144.9,0.71,62,96.5,0.52,0.23,0.04,0.10,27,16
Kawaii,OE,astra,463,144.8,0.71,57,103.4,0.52,0.27,0.05,0.06,28,13
Leaves,Leaves,astra,328,144.7,0.58,,103.7,0.46,0.27,0.05,0.06,23,2
Leakq,IRGG,astra,247,144.6,0.56,61,98.8,0.47,0.21,0.06,0.07,20,
terro,BC,astra,258,144.2,0.62,,96.8,0.50,0.25,0.03,0.10,19,17
style,FYL,astra,267,142.9,0.56,55,93.3,0.48,0.28,0.06,0.10,25,3
Athe1st,CAP,astra,351,142.8,0.64,,96.5,0.48,0.26,0.03,0.07,20,9
hacker,hacker,astra,323,142.3,0.64,63,97.8,0.50,0.18,0.02,0.09,23,6
MSK,Arrow,astra,559,140.9,0.64,54,97.4,0.49,0.25,0.05,0.08,26,8
Cronos,Cronos,astra,223,140.0,0.61,,91.1,0.48,0.21,0.02,0.06,23,7
qpto,qpto,astra,235,139.9,0.69,,89.2,0.49,0.29,0.03,0.07,15,13
Fiend,Rebi,astra,206,139.3,0.65,,87.4,0.51,0.27,0.05,0.12,15,
Surp33m,SNH,astra,261,138.8,0.66,,94.4,0.48,0.17,0.05,0.08,23,5
demozx,demozx,astra,222,138.1,0.66,62,96.9,0.51,0.33,0.04,0.06,29,9
spoog,Ecle,astra,274,137.9,0.58,,96.9,0.50,0.20,0.04,0.14,27,6
yuhneb,AKAT,astra,249,136.3,0.56,66,96.4,0.45,0.31,0.06,0.12,22,12
azez,Wind,astra,1138,135.3,0.53,59,93.5,0.43,0.26,0.06,0.12,17,12
posh,spice,astra,322,134.3,0.56,51,91.2,0.43,0.26,0.02,0.07,11,14
Melllxz,Melllxz,astra,334,127.8,0.51,59,90.5,0.43,0.16,0.02,0.06,25,4
PurpleKss,PurpleKss,astra,281,125.8,0.51,60,85.9,0.41,0.29,0.07,0.12,17,9
sheli,sheli,astra,270,122.4,0.52,64,84.0,0.41,0.24,0.05,0.09,25,5
Dykaz,Dykaz,astra,247,120.8,0.46,52,77.2,0.39,0.25,0.02,0.12,11,9
hesh,hesh,astra,200,120.5,0.51,50,81.9,0.41,0.18,0.03,0.11,23,8
Lindy,Lindy,astra,204,99.4,0.46,51,70.7,0.35,0.16,0.02,0.09,20,11
